Diagnóstico principal (CIE10MC);Grupo de edad;Intervalos de estancia;Total;;https://datos.gob.es/es/catalogo/ea0010587-altas-hospitalarias-clasificadas-por-intervalos-de-estancia-segun-el-diagnostico-principal-y-el-grupo-de-edad-identificador-api-74882?utm_source=chatgpt.com
0103 Tuberculosis A15-A19, B90;total;De 1 a 30 días;2.622;;
0103 Tuberculosis A15-A19, B90;total;De 31 días a 6 meses;394;;
0103 Tuberculosis A15-A19, B90;total;Más de 6 meses;61;;
0103 Tuberculosis A15-A19, B90;menores de 1 año;De 1 a 30 días;14;;
0103 Tuberculosis A15-A19, B90;menores de 1 año;De 31 días a 6 meses;1;;
0103 Tuberculosis A15-A19, B90;menores de 1 año;Más de 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 1 a 4 años;De 1 a 30 días;87;;
0103 Tuberculosis A15-A19, B90;de 1 a 4 años;De 31 días a 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 1 a 4 años;Más de 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 5 a 14 años;De 1 a 30 días;112;;
0103 Tuberculosis A15-A19, B90;de 5 a 14 años;De 31 días a 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 5 a 14 años;Más de 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 15 a 24 años;De 1 a 30 días;323;;
0103 Tuberculosis A15-A19, B90;de 15 a 24 años;De 31 días a 6 meses;19;;
0103 Tuberculosis A15-A19, B90;de 15 a 24 años;Más de 6 meses;5;;
0103 Tuberculosis A15-A19, B90;de 25 a 34 años;De 1 a 30 días;476;;
0103 Tuberculosis A15-A19, B90;de 25 a 34 años;De 31 días a 6 meses;60;;
0103 Tuberculosis A15-A19, B90;de 25 a 34 años;Más de 6 meses;11;;
0103 Tuberculosis A15-A19, B90;de 35 a 44 años;De 1 a 30 días;430;;
0103 Tuberculosis A15-A19, B90;de 35 a 44 años;De 31 días a 6 meses;60;;
0103 Tuberculosis A15-A19, B90;de 35 a 44 años;Más de 6 meses;20;;
0103 Tuberculosis A15-A19, B90;de 45 a 54 años;De 1 a 30 días;417;;
0103 Tuberculosis A15-A19, B90;de 45 a 54 años;De 31 días a 6 meses;73;;
0103 Tuberculosis A15-A19, B90;de 45 a 54 años;Más de 6 meses;13;;
0103 Tuberculosis A15-A19, B90;de 55 a 64 años;De 1 a 30 días;298;;
0103 Tuberculosis A15-A19, B90;de 55 a 64 años;De 31 días a 6 meses;65;;
0103 Tuberculosis A15-A19, B90;de 55 a 64 años;Más de 6 meses;7;;
0103 Tuberculosis A15-A19, B90;de 65 a 74 años;De 1 a 30 días;202;;
0103 Tuberculosis A15-A19, B90;de 65 a 74 años;De 31 días a 6 meses;47;;
0103 Tuberculosis A15-A19, B90;de 65 a 74 años;Más de 6 meses;2;;
0103 Tuberculosis A15-A19, B90;de 75 a 84 años;De 1 a 30 días;159;;
0103 Tuberculosis A15-A19, B90;de 75 a 84 años;De 31 días a 6 meses;45;;
0103 Tuberculosis A15-A19, B90;de 75 a 84 años;Más de 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 85 a 89 años;De 1 a 30 días;71;;
0103 Tuberculosis A15-A19, B90;de 85 a 89 años;De 31 días a 6 meses;16;;
0103 Tuberculosis A15-A19, B90;de 85 a 89 años;Más de 6 meses;3;;
0103 Tuberculosis A15-A19, B90;de 90 a 94 años;De 1 a 30 días;30;;
0103 Tuberculosis A15-A19, B90;de 90 a 94 años;De 31 días a 6 meses;8;;
0103 Tuberculosis A15-A19, B90;de 90 a 94 años;Más de 6 meses;..;;
0103 Tuberculosis A15-A19, B90;de 95 años y más;De 1 a 30 días;4;;
0103 Tuberculosis A15-A19, B90;de 95 años y más;De 31 días a 6 meses;..;;
